colour	fill	x	y	showSelected1	showSelected2	PANEL
#000000	#FC8D62	82.5246587625785	2	balanced	glmnet	1
#BEBEBE	#FC8D62	82.5346218989738	2	one	glmnet	1
#000000	#E78AC3	77.8320215203746	4	balanced	xgboost	1
#BEBEBE	#E78AC3	84.9556640430408	4	one	xgboost	1
#000000	#8DA0CB	81.7176447145562	1	balanced	major.class	1
#BEBEBE	#8DA0CB	81.7176447145562	1	one	major.class	1
#BEBEBE	#66C2A5	83.3814884925775	3	one	earth	1
#000000	#FC8D62	83.6006774932749	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.4412673109495	2	one	glmnet	1
#000000	#E78AC3	78.2305469761881	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.7726412274584	4	one	xgboost	1
#000000	#8DA0CB	81.8670917604862	1	balanced	major.class	1
#BEBEBE	#8DA0CB	81.8670917604862	1	one	major.class	1
#BEBEBE	#66C2A5	84.0091660854837	3	one	earth	1
#000000	#FC8D62	83.8880031885213	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.8880031885213	2	one	glmnet	1
#000000	#E78AC3	78.1486648066959	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.9505779194898	4	one	xgboost	1
#000000	#8DA0CB	82.3634914308489	1	balanced	major.class	1
#BEBEBE	#8DA0CB	82.3634914308489	1	one	major.class	1
#BEBEBE	#66C2A5	84.5356715823037	3	one	earth	1
#000000	#FC8D62	82.8816261458749	2	balanced	glmnet	1
#BEBEBE	#FC8D62	82.8816261458749	2	one	glmnet	1
#000000	#E78AC3	77.4810681546433	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.3029095257075	4	one	xgboost	1
#000000	#8DA0CB	81.3770426464727	1	balanced	major.class	1
#BEBEBE	#8DA0CB	81.3770426464727	1	one	major.class	1
#BEBEBE	#66C2A5	83.7485053806297	3	one	earth	1
#000000	#FC8D62	83.5492227979275	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.4296532483061	2	one	glmnet	1
#000000	#E78AC3	78.158628935831	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.3626943005182	4	one	xgboost	1
#000000	#8DA0CB	81.925069748904	1	balanced	major.class	1
#BEBEBE	#8DA0CB	81.925069748904	1	one	major.class	1
#BEBEBE	#66C2A5	83.8780390593862	3	one	earth	1
#000000	#FC8D62	83.1108011159825	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.0809087285771	2	one	glmnet	1
#000000	#E78AC3	78.4077321642088	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.1634117178159	4	one	xgboost	1
#000000	#8DA0CB	81.486648066959	1	balanced	major.class	1
#BEBEBE	#8DA0CB	81.486648066959	1	one	major.class	1
#BEBEBE	#66C2A5	83.7485053806297	3	one	earth	1
#000000	#FC8D62	83.070944599442	2	balanced	glmnet	1
#BEBEBE	#FC8D62	83.1108011159825	2	one	glmnet	1
#000000	#E78AC3	77.9095257074532	4	balanced	xgboost	1
#BEBEBE	#E78AC3	85.1135910721403	4	one	xgboost	1
#000000	#8DA0CB	81.6759665205261	1	balanced	major.class	1
